title,first_name,last_name,middle_name,birth_date,genre_names,publication_date,isbn
Война и мир,Лев,Толстой,Николаевич,1828-09-09,Роман;История,1869-01-01,9780140447934
Идиот,Фёдор,Достоевский,Михайлович,1821-11-11,Классика;Психология,1869-01-01,9780140447927
Преступление и наказание,Фёдор,Достоевский,Михайлович,1821-11-11,Классика;Философия,1866-01-01,9780140449136
Анна Каренина,Лев,Толстой,Николаевич,1828-09-09,Роман;Драма,1877-01-01,9780143035008
Братья Карамазовы,Фёдор,Достоевский,Михайлович,1821-11-11,Классика;Философия,1880-01-01,9780374528379
Герой нашего времени,Михаил,Лермонтов,Юрьевич,1814-10-15,Классика;Роман,1840-01-01,9780143105633
Мёртвые души,Николай,Гоголь,Васильевич,1809-03-31,Сатира;Роман,1842-01-01,9780140448078
Евгений Онегин,Александр,Пушкин,Сергеевич,1799-06-06,Поэзия;Классика,1833-01-01,9780199538645
Доктор Живаго,Борис,Пастернак,Леонидович,1890-02-10,Роман;История,1957-01-01,9780307390950
Архипелаг ГУЛАГ,Александр,Солженицын,Исаевич,1918-12-11,История;Документалистика,1973-01-01,9780061253805
